1,Primeira fase,Grupo A,2026-06-11T20:00:00Z,México,África do Sul,Estadio Azteca
2,Primeira fase,Grupo A,2026-06-12T03:00:00Z,Coreia do Sul,Tchéquia,Estadio Akron
3,Primeira fase,Grupo B,2026-06-12T20:00:00Z,Canadá,Bósnia e Herzegovina,BMO Field
4,Primeira fase,Grupo B,2026-06-13T20:00:00Z,Catar,Suíça,Levi's Stadium
5,Primeira fase,Grupo C,2026-06-13T23:00:00Z,Brasil,Marrocos,Gillette Stadium
6,Primeira fase,Grupo C,2026-06-14T02:00:00Z,Haiti,Escócia,MetLife Stadium
7,Primeira fase,Grupo D,2026-06-13T02:00:00Z,Estados Unidos,Paraguai,SoFi Stadium
8,Primeira fase,Grupo D,2026-06-14T05:00:00Z,Austrália,Turquia,BC Place
9,Primeira fase,Grupo E,2026-06-14T18:00:00Z,Costa do Marfim,Equador,Lincoln Financial Field
10,Primeira fase,Grupo E,2026-06-15T00:00:00Z,Alemanha,Curaçao,NRG Stadium
11,Primeira fase,Grupo F,2026-06-14T21:00:00Z,Países Baixos,Japão,AT&T Stadium
12,Primeira fase,Grupo F,2026-06-15T03:00:00Z,Suécia,Tunísia,Estadio BBVA
13,Primeira fase,Grupo G,2026-06-16T02:00:00Z,Irã,Nova Zelândia,SoFi Stadium
14,Primeira fase,Grupo G,2026-06-15T20:00:00Z,Bélgica,Egito,Lumen Field
15,Primeira fase,Grupo H,2026-06-15T23:00:00Z,Arábia Saudita,Uruguai,Hard Rock Stadium
16,Primeira fase,Grupo H,2026-06-15T17:00:00Z,Espanha,Cabo Verde,Mercedes-Benz Stadium
17,Primeira fase,Grupo I,2026-06-16T20:00:00Z,França,Senegal,MetLife Stadium
18,Primeira fase,Grupo I,2026-06-16T23:00:00Z,Iraque,Noruega,Gillette Stadium
19,Primeira fase,Grupo J,2026-06-17T02:00:00Z,Argentina,Argélia,Arrowhead Stadium
20,Primeira fase,Grupo J,2026-06-17T05:00:00Z,Áustria,Jordânia,Levi's Stadium
21,Primeira fase,Grupo K,2026-06-17T18:00:00Z,Portugal,RD Congo,NRG Stadium
22,Primeira fase,Grupo K,2026-06-18T03:00:00Z,Uzbequistão,Colômbia,Estadio Azteca
23,Primeira fase,Grupo L,2026-06-18T00:00:00Z,Gana,Panamá,BMO Field
24,Primeira fase,Grupo L,2026-06-17T21:00:00Z,Inglaterra,Croácia,AT&T Stadium
25,Primeira fase,Grupo A,2026-06-18T17:00:00Z,Tchéquia,África do Sul,Mercedes-Benz Stadium
26,Primeira fase,Grupo A,2026-06-19T02:00:00Z,México,Coreia do Sul,Estadio Akron
27,Primeira fase,Grupo B,2026-06-18T20:00:00Z,Suíça,Bósnia e Herzegovina,SoFi Stadium
28,Primeira fase,Grupo B,2026-06-18T23:00:00Z,Canadá,Catar,BC Place
29,Primeira fase,Grupo C,2026-06-19T23:00:00Z,Escócia,Marrocos,Lincoln Financial Field
30,Primeira fase,Grupo C,2026-06-20T02:00:00Z,Brasil,Haiti,Gillette Stadium
31,Primeira fase,Grupo D,2026-06-20T05:00:00Z,Turquia,Paraguai,Levi's Stadium
32,Primeira fase,Grupo D,2026-06-19T20:00:00Z,Estados Unidos,Austrália,Lumen Field
33,Primeira fase,Grupo E,2026-06-20T21:00:00Z,Alemanha,Costa do Marfim,BMO Field
34,Primeira fase,Grupo E,2026-06-21T01:00:00Z,Equador,Curaçao,Arrowhead Stadium
35,Primeira fase,Grupo F,2026-06-20T18:00:00Z,Países Baixos,Suécia,NRG Stadium
36,Primeira fase,Grupo F,2026-06-21T05:00:00Z,Tunísia,Japão,Estadio BBVA
37,Primeira fase,Grupo G,2026-06-21T20:00:00Z,Bélgica,Irã,SoFi Stadium
38,Primeira fase,Grupo G,2026-06-22T02:00:00Z,Nova Zelândia,Egito,BC Place
39,Primeira fase,Grupo H,2026-06-21T23:00:00Z,Uruguai,Cabo Verde,Hard Rock Stadium
40,Primeira fase,Grupo H,2026-06-21T17:00:00Z,Espanha,Arábia Saudita,Mercedes-Benz Stadium
41,Primeira fase,Grupo I,2026-06-23T01:00:00Z,Noruega,Senegal,MetLife Stadium
42,Primeira fase,Grupo I,2026-06-22T22:00:00Z,França,Iraque,Lincoln Financial Field
43,Primeira fase,Grupo J,2026-06-22T18:00:00Z,Argentina,Áustria,AT&T Stadium
44,Primeira fase,Grupo J,2026-06-23T04:00:00Z,Jordânia,Argélia,Levi's Stadium
45,Primeira fase,Grupo K,2026-06-23T18:00:00Z,Portugal,Uzbequistão,NRG Stadium
46,Primeira fase,Grupo K,2026-06-24T03:00:00Z,Colômbia,RD Congo,Estadio Akron
47,Primeira fase,Grupo L,2026-06-23T21:00:00Z,Inglaterra,Gana,Gillette Stadium
48,Primeira fase,Grupo L,2026-06-24T00:00:00Z,Panamá,Croácia,BMO Field
49,Primeira fase,Grupo A,2026-06-25T02:00:00Z,Tchéquia,México,Estadio Azteca
50,Primeira fase,Grupo A,2026-06-25T02:00:00Z,África do Sul,Coreia do Sul,Estadio BBVA
51,Primeira fase,Grupo B,2026-06-24T20:00:00Z,Suíça,Canadá,BC Place
52,Primeira fase,Grupo B,2026-06-24T20:00:00Z,Bósnia e Herzegovina,Catar,Lumen Field
53,Primeira fase,Grupo C,2026-06-24T23:00:00Z,Escócia,Brasil,Hard Rock Stadium
54,Primeira fase,Grupo C,2026-06-24T23:00:00Z,Marrocos,Haiti,Mercedes-Benz Stadium
55,Primeira fase,Grupo D,2026-06-26T03:00:00Z,Turquia,Estados Unidos,SoFi Stadium
56,Primeira fase,Grupo D,2026-06-26T03:00:00Z,Paraguai,Austrália,Levi's Stadium
57,Primeira fase,Grupo E,2026-06-25T21:00:00Z,Curaçao,Costa do Marfim,Lincoln Financial Field
58,Primeira fase,Grupo E,2026-06-25T21:00:00Z,Equador,Alemanha,MetLife Stadium
59,Primeira fase,Grupo F,2026-06-26T00:00:00Z,Japão,Suécia,AT&T Stadium
60,Primeira fase,Grupo F,2026-06-26T00:00:00Z,Tunísia,Países Baixos,Arrowhead Stadium
61,Primeira fase,Grupo G,2026-06-27T04:00:00Z,Egito,Irã,Lumen Field
62,Primeira fase,Grupo G,2026-06-27T04:00:00Z,Nova Zelândia,Bélgica,BC Place
63,Primeira fase,Grupo H,2026-06-27T01:00:00Z,Cabo Verde,Arábia Saudita,NRG Stadium
64,Primeira fase,Grupo H,2026-06-27T01:00:00Z,Uruguai,Espanha,Estadio Akron
65,Primeira fase,Grupo I,2026-06-26T20:00:00Z,Noruega,França,Gillette Stadium
66,Primeira fase,Grupo I,2026-06-26T20:00:00Z,Senegal,Iraque,BMO Field
67,Primeira fase,Grupo J,2026-06-28T03:00:00Z,Argélia,Áustria,Arrowhead Stadium
68,Primeira fase,Grupo J,2026-06-28T03:00:00Z,Jordânia,Argentina,AT&T Stadium
69,Primeira fase,Grupo K,2026-06-28T00:30:00Z,Colômbia,Portugal,Hard Rock Stadium
70,Primeira fase,Grupo K,2026-06-28T00:30:00Z,RD Congo,Uzbequistão,Mercedes-Benz Stadium
71,Primeira fase,Grupo L,2026-06-27T22:00:00Z,Panamá,Inglaterra,MetLife Stadium
72,Primeira fase,Grupo L,2026-06-27T22:00:00Z,Croácia,Gana,Lincoln Financial Field
73,16 avos,16 avos,2026-06-28T20:00:00Z,2º Grupo A,2º Grupo B,SoFi Stadium
74,16 avos,16 avos,2026-06-29T20:00:00Z,1º Grupo E,3º Grupo A/B/C/D/F,Gillette Stadium
75,16 avos,16 avos,2026-06-29T20:00:00Z,1º Grupo F,2º Grupo C,Estadio BBVA
76,16 avos,16 avos,2026-06-29T20:00:00Z,1º Grupo C,2º Grupo F,NRG Stadium
77,16 avos,16 avos,2026-06-30T20:00:00Z,1º Grupo I,3º Grupo C/D/F/G/H,MetLife Stadium
78,16 avos,16 avos,2026-06-30T20:00:00Z,2º Grupo E,2º Grupo I,AT&T Stadium
79,16 avos,16 avos,2026-06-30T20:00:00Z,1º Grupo A,3º Grupo C/E/F/H/I,Estadio Azteca
80,16 avos,16 avos,2026-07-01T20:00:00Z,1º Grupo L,3º Grupo E/H/I/J/K,Mercedes-Benz Stadium
81,16 avos,16 avos,2026-07-01T20:00:00Z,1º Grupo D,3º Grupo B/E/F/I/J,Levi's Stadium
82,16 avos,16 avos,2026-07-01T20:00:00Z,1º Grupo G,3º Grupo A/E/H/I/J,Lumen Field
83,16 avos,16 avos,2026-07-02T20:00:00Z,2º Grupo K,2º Grupo L,BMO Field
